xh,jyzk
2012212468,1
2012212469,1
2012212470,1
2012215017,1
2012212472,0
2012210161,1
2012212474,1
2012212475,0
2012211498,1
2012212477,1
2012212478,1
2012215762,1
2012210567,1
2012212482,1
2012211316,1
2012212484,1
2012212118,1
2012212486,0
2012215381,1
2012212489,1
2012215559,0
2012212492,0
2012212493,1
2012212494,1
2012215605,1
2012212694,1
2012210266,1
2012211823,1
2012212072,1
2012210392,1
2012212503,1
2012214134,1
2012212505,0
2012215807,1
2012210413,1
2012210680,1
2012212536,1
2012212510,0
2012212511,1
2012212512,1
2012215714,1
2012215862,1
2012211110,1
2012215572,1
2012212517,0
2012212518,1
2012212519,1
2012212521,1
2012212522,1
2012214161,1
2012212524,0
2012214437,1
2012214438,1
2012211325,1
2012212297,1
2012210635,1
2012212530,1
2012211888,1
2012214046,1
2012210629,1
2012212534,1
2012212712,1
2012215739,1
2012212537,1
2012212538,1
2012212539,1
2012212540,1
2012210045,1
2012214984,1
2012212543,1
2012214486,1
2012212545,1
2012210594,1
2012215441,1
2012212548,1
2012215689,1
2012215702,1
2012215741,1
2012212552,0
2012210063,1
2012212184,1
2012212555,1
2012214474,1
2012214515,1
2012212558,1
2012212559,1
2012212562,0
2012211226,1
2012215184,1
2012210113,1
2012212566,0
2012212567,0
2012216021,1
2012212569,0
2012212570,1
2012212572,0
2012212573,0
2012212574,0
2012216059,1
2012210179,1
2012210196,1
2012215642,1
2012212580,1
2012214498,1
2012215222,1
2012215284,1
2012211190,1
2012212585,0
2012212586,1
2012212587,1
2012214248,1
2012210780,1
2012210794,1
2012212927,1
2012212592,0
2012213446,1
2012212594,1
2012212595,1
2012215520,1
2012214221,1
2012212598,1
2012212599,1
2012212600,1
2012212601,1
2012215224,1
2012212603,1
2012212605,0
2012212606,1
2012212607,0
2012212608,1
2012212609,0
2012212506,1
2012212509,1
2012212710,1
2012214473,1
2012212615,1
2012213383,1
2012212618,1
2012212619,1
2012212620,1
2012211127,1
2012212622,1
2012216008,1
2012212175,1
2012215429,1
2012215820,1
2012212627,0
2012211336,1
2012211193,1
2012212630,1
2012212631,1
2012211962,1
2012212633,0
2012213890,1
2012214244,1
2012215309,1
2012212637,1
2012212638,0
2012213585,1
2012213299,1
2012212504,1
2012212643,0
2012213250,1
2012212645,1
2012212646,1
2012212648,0
2012212649,1
2012212650,1
2012212652,0
2012212653,0
2012212654,1
2012212655,1
2012212656,0
2012212657,1
2012212659,1
2012212660,0
2012213871,1
2012212662,1
2012212663,0
2012213873,1
2012212667,0
2012212668,1
2012213686,1
2012213903,1
2012213515,1
2012213553,1
2012213655,1
2012213786,1
2012212675,1
2012212676,1
2012213807,1
2012212678,0
2012213808,1
2012212680,1
2012212681,1
2012215639,1
2012212160,1
2012212685,0
2012213492,1
2012212687,1
2012212688,0
2012212689,1
2012213507,1
2012213693,1
2012213849,1
2012210608,1
2012211622,1
2012212695,0
2012214312,1
2012211851,1
2012212698,0
2012215515,1
2012212700,1
2012212701,1
2012212702,0
2012215664,1
2012212644,1
2012212705,0
2012212706,1
2012214609,1
2012215048,1
2012214128,1
2012212711,0
2012213697,1
2012212713,0
2012212714,0
2012212715,1
2012214475,1
2012210776,1
2012213459,1
2012214983,1
2012211459,1
2012210450,1
2012212722,0
2012215545,1
2012214118,1
2012212725,0
2012214973,1
2012215022,1
2012212729,0
2012214831,1
2012211254,1
2012212732,0
2012212733,0
2012212734,0
2012212735,0
2012214196,1
2012211632,1
2012212738,1
2012210278,1
2012211233,1
2012211308,1
2012212742,0
2012211536,1
2012212744,1
2012212803,1
2012213678,1
2012213048,1
2012215880,1
2012212750,1
2012210695,1
2012213846,1
2012212753,0
2012212754,1
2012215824,1
2012214855,1
2012212758,1
2012212759,0
2012214890,1
2012212761,1
2012215044,1
2012212763,1
2012215665,1
2012215667,1
2012212766,0
2012215681,1
2012215832,1
2012212769,1
2012215686,1
2012212771,0
2012215821,1
2012215830,1
2012214915,1
2012212775,0
2012214187,1
2012212777,0
2012215590,1
2012212779,1
2012212780,1
2012212781,0
2012212782,1
2012214195,1
2012215670,1
2012215693,1
2012215822,1
2012215823,1
2012212788,1
